item_id,title,object_type,space,price,area_price,address,metro,time_to_metro,published_raw,published_date,source_page_number,collected_at,url
8025388709,"Квартира-студия, 19,8 м², 11/13 эт.",Квартира-студия,19,3 999 888 ₽,202 015 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_198_m_1113_et._8025388709?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiczFla21tMHRkMGh0azNteGZra3J2MDNxNHRoaDRtNSI7fRTEg8OIAAAA
7968755050,"2-к. квартира, 58,4 м², 2/18 эт.",2-к. квартира,58,6 919 533 ₽,118 485 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_584_m_218_et._7968755050?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968436847,"1-к. квартира, 34,2 м², 13/17 эт.",1-к. квартира,34,4 207 033 ₽,123 013 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_342_m_1317_et._7968436847?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7994575177,"2-к. квартира, 51,8 м², 3/9 эт.",2-к. квартира,51,9 080 000 ₽,175 290 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_518_m_39_et._7994575177?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7920063152,"2-к. квартира, 60,5 м², 5/9 эт.",2-к. квартира,60,8 971 406 ₽,148 288 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_605_m_59_et._7920063152?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8105325467,"1-к. квартира, 36,9 м², 12/22 эт.",1-к. квартира,36,6 266 200 ₽,169 816 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_369_m_1222_et._8105325467?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8151674653,"Квартира-студия, 24,3 м², 13/25 эт.",Квартира-студия,24,7 850 000 ₽,323 045 ₽,"Кондратьевский пр-т, 68к4",Площадь Мужества,от 31 мин.,1 час назад,05.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_243_m_1325_et._8151674653?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7952386463,"1-к. квартира, 61,5 м², 21/25 эт.",1-к. квартира,61,13 805 857 ₽,224 485 ₽,"ул. Руднева, д. 18",Проспект Просвещения,21–30 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_615_m_2125_et._7952386463?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8061634818,"Квартира-студия, 25,5 м², 13/16 эт.",Квартира-студия,25,8 760 000 ₽,343 529 ₽,"Комендантский пр-т, 60к3",Комендантский проспект,от 31 мин.,Вчера,04.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_255_m_1316_et._8061634818?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
4183993961,"3-к. апартаменты, 74,3 м², 2/17 эт.",3-к. апартаменты,74,12 003 908 ₽,161 560 ₽,,Улица Дыбенко,21–30 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._apartamenty_743_m_217_et._4183993961?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
